,Abbreviation,TeamId,GridPosition,Position,Time,Status,Race,TotalTime,Rain,Temp
0,LEC,ferrari,1.0,1.0,5853584000000.0,Finished,Bahrain Grand Prix,0 days 01:37:33.584000,0.0,
1,SAI,ferrari,3.0,2.0,5859182000000.0,Finished,Bahrain Grand Prix,0 days 01:37:39.182000,0.0,
2,HAM,mercedes,5.0,3.0,5863259000000.0,Finished,Bahrain Grand Prix,0 days 01:37:43.259000,0.0,
3,RUS,mercedes,9.0,4.0,5864795000000.0,Finished,Bahrain Grand Prix,0 days 01:37:44.795000,0.0,
4,MAG,haas,7.0,5.0,5868338000000.0,Finished,Bahrain Grand Prix,0 days 01:37:48.338000,0.0,
5,BOT,sauber,6.0,6.0,5869703000000.0,Finished,Bahrain Grand Prix,0 days 01:37:49.703000,0.0,
6,OCO,alpine,11.0,7.0,5873007000000.0,Finished,Bahrain Grand Prix,0 days 01:37:53.007000,0.0,
7,TSU,rb,16.0,8.0,5873970000000.0,Finished,Bahrain Grand Prix,0 days 01:37:53.970000,0.0,
8,ALO,alpine,8.0,9.0,5875974000000.0,Finished,Bahrain Grand Prix,0 days 01:37:55.974000,0.0,
9,ZHO,sauber,15.0,10.0,5876648000000.0,Finished,Bahrain Grand Prix,0 days 01:37:56.648000,0.0,
10,MSC,haas,12.0,11.0,5886158000000.0,Finished,Bahrain Grand Prix,0 days 01:38:06.158000,0.0,
11,STR,aston_martin,19.0,12.0,5899457000000.0,Finished,Bahrain Grand Prix,0 days 01:38:19.457000,0.0,
12,ALB,williams,14.0,13.0,5907516000000.0,Finished,Bahrain Grand Prix,0 days 01:38:27.516000,0.0,
13,RIC,mclaren,18.0,14.0,5908559000000.0,Finished,Bahrain Grand Prix,0 days 01:38:28.559000,0.0,
14,NOR,mclaren,13.0,15.0,5909919000000.0,Finished,Bahrain Grand Prix,0 days 01:38:29.919000,0.0,
15,LAT,williams,20.0,16.0,5915379000000.0,Finished,Bahrain Grand Prix,0 days 01:38:35.379000,0.0,
16,HUL,aston_martin,17.0,17.0,5917413000000.0,Finished,Bahrain Grand Prix,0 days 01:38:37.413000,0.0,
17,PER,red_bull,4.0,18.0,,Fuel pressure,Bahrain Grand Prix,,0.0,
18,VER,red_bull,2.0,19.0,,Fuel pressure,Bahrain Grand Prix,,0.0,
19,GAS,rb,10.0,20.0,,Power Unit,Bahrain Grand Prix,,0.0,
